"dealer_location_id","name","address_state","cnt","enabled_cnt"
1075148924,ASURION HOME SOLUTIONS,TN,1,1
1151411824,TALLAHASSEE,FL,9,9
1186654575,DALLAS,TX,1,1
1167926648,LONG ISLAND-OEM,NY,6,6
1133877146,JACKSONVILLE,FL,16,16
1167598278,COLUMBUS OH-OEM,OH,9,9
1150247149,RIVERSIDE-OEM,CA,15,15
1167598326,DETROIT-OEM,MI,15,15
1167926123,ALEXANDRIA-OEM,VA,14,14
1115480749,ASURION MAJOR APPLIANCE REPAIR,TN,5,5
1151412499,FORT MYERS,FL,17,17
1151415092,PALM SPRINGS,CA,7,7
1180730451,PORTLAND,WA,6,6
930234777,"CCI Baltimore, MD",MD,1,1
1151415181,SYRACUSE,NY,9,9
1182284471,UBREAKIFIX,MO,1,1
1151408894,MIAMI,FL,27,27
1148754255,LONG BEACH-OEM,CA,13,13
1151412680,ROCHESTER,NY,12,12
1167598310,DES MOINES-OEM,IA,10,10
1151414633,PITTSBURGH,PA,12,12
1116738105,ASURION MAJOR APPLIANCE LA,CA,2,2
1167598299,DENVER-OEM,CO,11,11
1167598373,LOUISVILLE-OEM,TN,6,6
1131668593,Maryland,MD,2,2
1151414117,LONG ISLAND EAST,NY,10,10
1151408301,FORT LAUDERDALE,FL,34,34
1151407965,BUFFALO,NY,10,10
1169520565,PITTSBURGH-OEM,PA,9,9
1170280267,LONG ISLAND WEST,NY,14,14
1145399496,LOS ANGELES-OEM,CA,21,21
1151412243,ALEXANDRIA,VA,15,15
1151415036,CHATTANOOGA,TN,9,9
1151414951,BOSTON,MA,14,14
1145399038,DALLAS-OEM,TX,25,25
1167598530,RALEIGH-OEM,NC,12,12
1167598626,SAINT LOUIS-OEM,MO,11,11
1133787700,ASURION REPAIR SERVICES,TN,175,175
1151408738,SEATTLE,WA,13,13
1167598466,MINNEAPOLIS-OEM,TN,6,6
1133877290,ORLANDO,FL,44,44
1151412583,KANSAS CITY,MO,11,11
1167598260,CHICAGO-OEM,TN,6,6
1167598500,ODESSA-OEM,TX,8,8
1146268589,DALLAS OEM,TX,3,3
1167598177,ATLANTA-OEM,GA,8,8
1167598558,SACRAMENTO-OEM,CA,10,10
1167598353,INDIANAPOLIS-OEM,TN,6,6
1151412811,TAMPA,FL,16,16
1169296679,CLEVELAND-OEM,OH,11,11
1148753232,ORLANDO-OEM,FL,6,6
1167926425,KANSAS CITY-OEM,MO,9,9
1151408553,JUPITER,FL,28,28
1151414044,GRAND RAPIDS,MI,12,12
1167598522,OKLAHOMA CITY-OEM,OK,9,9
1146408742,NASHVILLE-OEM,TN,15,15
1184247876,ATLANTA,GA,7,7
1133877201,OCALA,FL,27,27
1167598487,NEW ORLEANS-OEM,LA,9,9
1167598601,SAN ANTONIO-OEM,TX,11,11
1151412910,CLEVELAND,OH,13,13
1167598612,SAN JOSE-OEM,CA,11,11
1167598237,CHARLESTON-OEM,SC,15,15
1133877015,DAYTONA,FL,15,15
1148752286,SAN DIEGO-OEM,CA,15,15
1167598438,MEMPHIS-OEM,TN,11,11
1150127229,HOUSTON-OEM,TX,21,21
